links001;;;;;;;;;;;;;;;
Date:;04.02.2008;;;;;;;;;;;;;;
Time:;16:29:01;;;;;;;;;;;;;;
Type:;;;;;;;;;;;;;;;
Description:;;;;;;;;;;;;;;;
Notes:;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;
120;Hz;;;;;;;;;;;;;;
;LUPA;;;LELB;;;LFRM;;;LSHO;;;LFIN;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;722,406436;-1624,246883;1351,517836;827,114832;-1548,680132;1254,735647;868,444775;-1549,655616;1123,779356;567,612394;-1719,102657;1408,142031;882,979166;-1535,724795;976,568618
2;723,903784;-1623,263588;1350,708145;828,550958;-1548,802652;1253,586819;868,872463;-1550,43834;1122,037905;569,240805;-1717,811735;1408,16043;882,021192;-1537,492866;974,748676
3;725,457836;-1622,334867;1349,995622;829,948197;-1548,872478;1252,411665;869,20829;-1551,515912;1120,199691;570,413927;-1716,175691;1408,070296;880,944694;-1539,380524;972,664267
4;726,903919;-1621,382253;1349,112821;831,307553;-1548,969201;1250,875706;869,425894;-1552,690172;1118,172965;571,586189;-1714,619774;1408,054606;879,75261;-1541,41988;970,430554
5;728,265319;-1620,566482;1348,215271;832,546379;-1549,301705;1249,197505;869,563216;-1554,004683;1116,105401;572,764687;-1713,165053;1408,187861;878,53008;-1543,620229;968,369609
6;729,602513;-1620,002035;1347,282132;833,629506;-1549,85585;1247,328412;869,642072;-1555,514048;1114,035277;573,780868;-1711,715925;1408,115563;877,198881;-1545,839159;966,14242
7;730,876791;-1619,529695;1346,208984;834,599429;-1550,52535;1245,357394;869,573324;-1557,122186;1111,659192;574,745415;-1710,286263;1408,069668;875,806898;-1548,139842;963,71054
8;732,048916;-1619,155137;1345,236534;835,429603;-1551,383633;1243,519566;869,407691;-1558,956265;1109,135488;575,537725;-1708,827326;1408,329699;874,423176;-1550,695183;961,44384
9;733,025855;-1618,990889;1344,286854;836,238958;-1552,499589;1241,501063;869,153348;-1560,967026;1106,929638;576,205814;-1707,309416;1408,50559;872,993658;-1553,398045;959,22166
10;733,827479;-1618,995139;1343,387718;837,018566;-1553,858518;1239,278791;868,750036;-1563,042625;1104,76685;576,893027;-1705,741737;1408,639303;871,559864;-1556,105806;957,005141
11;734,571011;-1619,073814;1342,367534;837,563807;-1555,309517;1237,032541;868,28788;-1565,312327;1102,359735;577,437982;-1704,190969;1408,771254;869,986913;-1558,743875;954,782065
